Page path and screen class,Session manual medium,Views,Users,Views per user,Average engagement time,Event count,Key events,Total revenue
/,organic,166231,25159,6.607218093,23.36134187,310131,0,0
/page/search,organic,48004,16839,2.850763109,2.770354534,95381,0,0
/,referral,41595,3665,11.34924966,36.26821282,73765,0,0.000601
/article/2024/03/penn-college-sophomore-nathaniel-gordon-dies,referral,32291,11773,2.742801325,6.477023698,74034,0,0
/article/2024/03/penn-college-sophomore-nathaniel-gordon-dies,organic,26092,7380,3.535501355,28.67439024,54805,0,0
/section/mini-crosswords,organic,20004,2127,9.404795487,9.787964269,31955,0,0
/article/2024/03/penn-regular-decision-results-class-of-2028,organic,19611,6378,3.074788335,33.94998432,42433,0,0
/article/2024/03/penn-trump-supreme-court-eligible-ballots-2024-election,referral,16389,11170,1.467233662,3.961324978,43813,0,0
/article/2024/04/penn-rowing-racism-allegations-lightweight-sports-athletics,organic,14556,2459,5.919479463,151.4558764,23160,0,0
/,email,13640,1823,7.482172244,21.6697751,23950,0,0
/section/news,organic,13129,2350,5.586808511,18.24170213,21068,0,0
/article/2024/01/penn-medicine-hospital-safety-violations,referral,13112,11387,1.15148854,0.064196013,37242,0,0
/article/2024/03/penn-trump-republican-nominee-president-2024-election,referral,11886,5590,2.126296959,6.23255814,29348,0,0
/article/2024/04/penn-rowing-racism-allegations-lightweight-sports-athletics,referral,11874,2972,3.995289367,83.56628533,23088,0,0.000608
/article/2024/02/penn-medical-malpractice-verdict-upheld-hup,referral,11837,8464,1.398511342,0.9417533081,31597,0,0
/article/2023/12/penn-early-decision-results-class-of-2028,organic,10707,5204,2.057455803,16.2169485,24790,0,0
/article/2024/02/penn-wharton-graduate-association-fight-night-funding-charity,email,10290,4624,2.225346021,87.23096886,24413,0,0
/article/2024/04/penn-against-occupation-removal-registration-investigation,referral,9558,3101,3.082231538,45.02579813,19768,0,0
/article/2024/04/penn-against-occupation-removal-registration-investigation,organic,9556,2154,4.4363974,65.78087279,16545,0,0
/section/opinion,organic,8980,1819,4.93677845,10.47278725,13158,0,0
/article/2022/11/penn-womens-basketball-kayla-padilla-profile-filipino-american-heritage-month,organic,8553,3174,2.694706994,56.48676749,20186,0,0
/,(not set),8537,631,13.52931854,18.35657686,15396,0,0
/article/2024/03/penn-spring-fling-2024-artist-reveal,organic,8378,3067,2.731659602,16.36680796,18724,0,0
/article/2024/04/penn-lauren-footman-delaware-county-dei-firing-racial-discrimination,referral,8218,3982,2.063787042,6.192867906,19837,0,0
/section/sports,organic,7869,1296,6.071759259,13.33950617,12165,0,0
/search,organic,6721,1098,6.121129326,7.773224044,10466,0,0
/section/crosswords,organic,6472,1000,6.472,5.156,9867,0,0
/article/2024/02/amy-wax-hearing-leaked-documents-penn,organic,6374,1877,3.395844433,84.60255727,13592,0,0
/article/2024/03/penn-regular-decision-results-class-of-2028,referral,6122,2188,2.797989031,16.52513711,13589,0,0
/article/2024/03/penn-recieves-record-applications-2028-class,organic,5890,1832,3.215065502,36.9121179,12134,0,0
/article/2024/02/penn-wharton-graduate-association-fight-night-funding-charity,organic,5523,1833,3.01309329,105.1974905,10977,0,0
/article/2017/02/trump-academics-at-wharton,organic,5476,2147,2.550535631,41.94829995,12532,0,0
